# 3D point list with one line of data per point:
#   POINT3D_ID, X, Y, Z, R, G, B, ERROR, TRACK[] as (IMAGE_ID, POINT2D_IDX)
# Number of points: 55, mean track length: 2
1 4.0605296324673361 -0.26197940600782443 32.305839800944064 200 178 65 2.735802098806039 21 5 20 71
2 3.896531974963537 0.54050551818661541 32.054597114135831 196 175 82 1.0495255537036705 21 37 20 83
3 3.896531974963537 0.54050551818661541 32.054597114135831 196 175 82 1.0495255537036705 21 38 20 84
4 4.8126471928623591 0.58862246405594787 32.477055608129135 54 55 41 1.1609328250164599 21 46 20 17
5 2.7201821645378059 0.59046319263778013 32.061771687458368 64 64 52 0.61430448991684705 21 50 20 95
6 4.6070397419389071 0.87707002376721555 32.213465161404649 211 191 82 0.9030234844927969 21 64 20 90
7 4.6318750734176639 0.89000481033178369 32.214164030487055 202 182 61 0.81001768715727629 21 65 20 22
8 4.673642760762835 1.1423600607100113 32.062874696537207 193 171 60 1.5264097543458375 21 70 20 29
9 4.673642760762835 1.1423600607100113 32.062874696537207 193 171 60 1.5264097543458375 21 71 20 30
10 0.011889025335552361 1.4690943503291183 33.3720750361258 200 189 88 1.2345905894494371 21 85 20 202
11 0.011889025335552361 1.4690943503291183 33.3720750361258 200 189 88 1.2345905894494371 21 86 20 203
12 0.58220131797161701 3.0080965664847055 34.56467477422261 215 205 180 1.8741868825489298 21 103 20 62
13 2.7576677681522566 0.57122631242958954 32.06669572101989 71 73 60 0.9355863985262427 21 129 20 93
14 2.8336065049598127 0.59690571011900007 32.031456235832088 128 129 111 1.0387371049840335 21 136 20 94
15 3.5557430283456624 2.5082426172574239 32.617416295893605 120 84 26 0.63371881422832355 21 178 20 111
16 4.6188144457100044 0.89994129662003264 32.210379055680328 172 154 18 0.68963211636395394 21 208 20 91
17 4.6188144457100044 0.89994129662003264 32.210379055680328 172 154 18 0.68963211636395394 21 209 20 92
18 0.17357130830048773 2.5390576139825844 34.617171724799157 217 209 182 0.9147613900281315 21 227 20 116
20 4.8673760760786307 0.57309984793185098 32.492527930056561 125 118 99 1.3191737734237377 21 246 20 185
21 4.0965251616859968 1.0498015572103503 31.800577367270598 151 138 52 0.42613120046540398 21 255 20 227
22 3.8269508966743864 1.0836444597173012 31.718405835693055 126 111 32 0.8827424276446274 21 256 20 230
23 4.963597618430815 1.1310256281831959 32.376508688504053 180 165 46 2.0742746889160451 21 257 20 192
24 1.85786599018983 1.1357533382206291 32.234958653333088 167 81 66 0.2616793921806414 21 258 20 231
25 -0.068932262944763067 2.0771481757844952 33.317788315695125 216 209 199 2.6793190186505909 21 264 20 165
26 4.7310866764345736 0.63741977128003802 32.393970303406142 39 33 11 0.79387680820187589 21 294 20 220
27 4.7787183747229776 0.88103788840444031 32.328123306065336 45 39 25 1.7564193453358063 21 298 20 188
28 3.8046963206370705 1.0391207475397888 31.731975058004359 134 115 23 1.0754735362595254 21 301 20 229
29 1.2829725649890575 1.8506149399030609 33.73203952356404 184 147 7 2.5454019254060762 21 307 20 45
30 1.7540753692457867 1.1217973107757615 32.32699888796526 115 42 17 0.80612028939047442 21 316 20 250
31 1.2841801125963146 1.8174817461710331 33.772360816602237 224 216 206 0.089856348453672463 21 319 20 247
32 -0.14639614502378695 1.7693669407763282 33.327435315864477 224 205 81 0.69317526369850602 21 329 20 257
33 3.3434001087926193 1.8464996121445445 31.951297406550687 127 70 59 0.64539439055581882 21 330 20 246
34 4.4432735641573462 1.6387416822423784 32.130547023361494 60 27 10 1.6245952532215298 21 335 20 255
35 -0.1670824924461658 1.8389679289984038 33.376155157868254 161 135 49 0.71218383154201437 21 337 20 258
36 0.11200346500069225 1.4725219128064937 33.332963634646624 237 220 81 1.2499130248272072 21 341 20 280
37 3.2880468420475415 1.5832326969638448 31.805315880955703 84 32 11 0.58064307277370175 21 342 20 256
38 0.051783550991117977 1.5657168161008688 33.302391644691504 167 139 39 0.86620680886756496 21 343 20 283
39 -0.086512514183334499 1.7271572418700558 33.308430345931626 154 124 34 0.082912369706336836 21 346 20 267
40 -0.086512514183334499 1.7271572418700558 33.308430345931626 154 124 34 0.082912369706336836 21 347 20 266
41 3.3013767657615327 1.7977191282243101 31.905459448796258 80 33 17 0.31413138598782819 21 348 20 251
42 4.3738340491792451 1.8321597218139836 32.191467698610005 84 35 21 1.7486229007664833 21 356 20 274
43 2.8200526638561305 -1.2797371389465488 33.618707220797731 238 224 99 1.030700542697236 21 376 20 307
44 2.6037966650372764 0.41668301933647367 32.14574753910037 161 158 141 0.18697593110242827 21 377 20 313
45 3.9557335968617764 1.061597316200741 31.784683069904055 30 28 15 0.74264173793860611 21 379 20 310
46 3.488767038708378 1.1761447727773704 31.749129214444018 137 112 19 2.9526322352760603 21 385 20 315
47 3.389349620392017 1.6894538113975957 31.869864026940583 107 40 25 0.52454029426632132 21 386 20 321
48 4.3285901791821653 1.732627672360171 32.130883922840013 106 38 25 2.9321706039768367 21 387 20 319
49 5.8262269612208275 5.668636069698465 35.585009334015318 118 99 57 2.0532676467325421 21 397 20 328
50 2.4210417073027362 0.69248292708522197 32.032245934149827 47 49 36 0.49629744324192382 21 408 20 343
51 2.4210417073027362 0.69248292708522197 32.032245934149827 47 49 36 0.49629744324192382 21 409 20 342
52 3.319470865365413 0.81579160963702524 31.848287353873125 226 211 96 0.78856429401113892 21 415 20 349
53 6.6043367764810199 1.922490339695837 34.76111992573491 137 105 30 0.43225736597031317 21 419 20 344
54 6.6043367764810199 1.922490339695837 34.76111992573491 137 105 30 0.43225736597031317 21 420 20 345
55 1.885063460138916 1.6240675932053226 32.491196380175317 111 41 29 1.6127724952013809 21 430 20 356
57 6.0742283898704077 4.8776731205838413 35.2466823179982 215 211 200 3.3449415290754612 21 438 20 361
